id_producto,nombre_producto,descripcion,tipo,talla,genero,color,precio_unitario,stock_disponible
1,Pantalón S,Suscipit atque voluptate.,Camisa,M,Hombre,Blanco encaje,55.67,492
2,Pantalón S,Aliquid eveniet aut soluta.,Camisa,S,Mujer,Azul medianoche,83.01,258
3,Chaqueta S,Error unde voluptates laborum dicta.,Chaqueta,M,Mujer,Verde azulado,90.89,231
4,Overol S,Facilis soluta quaerat alias velit.,Overol,M,Unisex,Verde bosque,41.36,415
5,Chaqueta L,Impedit est repellat ab labore itaque maxime.,Pantalón,S,Unisex,Azul polvo,36.74,221
6,Chaqueta L,Officiis quis nobis velit veritatis.,Overol,S,Hombre,Beige antiguo,91.37,164
7,Camisa M,Ab ipsam laboriosam veniam.,Chaqueta,M,Hombre,Amarillo,32.01,227
8,Camisa S,Praesentium vitae nam ex in dolore est.,Camisa,M,Unisex,Púrpura,98.44,258
9,Pantalón S,Quae ut quo iste qui earum consequuntur pariatur.,Chaqueta,S,Unisex,Beige papaya,71.96,478
10,Chaqueta XL,Maxime deleniti itaque non suscipit saepe.,Camisa,M,Unisex,Gris mate,34.91,106
11,Overol S,Rerum amet voluptatum nemo sequi ex enim.,Camisa,S,Mujer,Turquesa oscuro,87.52,328
12,Overol XL,A voluptates sint excepturi molestias ullam.,Pantalón,L,Mujer,Beige melocotón,98.11,252
13,Overol M,Maiores nihil voluptates magni expedita.,Chaqueta,L,Mujer,Melón dulce,93.27,278
14,Overol XL,Maiores voluptatem id aliquid.,Overol,S,Unisex,Beige melocotón,75.48,166
15,Chaqueta S,Magnam debitis provident at eaque.,Overol,S,Hombre,Azul oscuro,58.85,461
16,Camisa M,Libero dolore quas corrupti qui nobis occaecati.,Chaqueta,L,Hombre,Azul acero claro,91.62,113
17,Chaqueta XL,Ut dolor vel quod quo laboriosam.,Camisa,S,Unisex,Azul medianoche,58.25,196
18,Overol L,Atque dolore accusantium quisquam.,Chaqueta,XL,Hombre,Beige antiguo,41.33,170
19,Camisa XL,Veritatis omnis dolore quod ex.,Chaqueta,M,Hombre,Orquídea púrpura oscuro,83.07,477
20,Chaqueta L,Minus illum quos corrupti.,Overol,S,Mujer,Azul lona,41.24,407
21,Overol XL,Et perspiciatis voluptatum impedit.,Camisa,XL,Unisex,Blanco menta,71.03,331
22,Overol XL,Iusto minus autem voluptatem.,Overol,M,Hombre,Coral,49.51,247
23,Camisa XL,Ut ab vero nemo beatae.,Pantalón,S,Mujer,Marrón,71.35,438
24,Pantalón XL,Accusamus id possimus impedit modi.,Pantalón,L,Hombre,Blanco fantasma,87.68,134
25,Overol M,Sed nam ullam.,Pantalón,L,Hombre,Coral claro,73.49,209
26,Chaqueta L,Voluptatum porro vel placeat.,Camisa,M,Unisex,Naranja oscuro,75.41,86
27,Overol M,Quam dolore facilis accusantium.,Pantalón,L,Mujer,Azul cielo,69.85,266
28,Pantalón XL,Cumque qui ad repudiandae maiores.,Pantalón,S,Mujer,Marrón perú,77.81,112
29,Overol M,Sunt eos ipsa quisquam.,Chaqueta,S,Unisex,Azul cielo,38.3,137
30,Chaqueta M,Itaque recusandae a unde maxime.,Camisa,S,Unisex,Marrón rojizo,38.69,72
31,Pantalón XL,Nam magnam porro maiores.,Chaqueta,S,Hombre,Marrón,58.87,272
32,Chaqueta L,Minima laudantium officiis error.,Chaqueta,L,Hombre,Orquídea púrpura oscuro,53.25,386
33,Chaqueta S,Possimus nihil reprehenderit magnam porro.,Camisa,L,Mujer,Verde claro,85.86,153
34,Camisa S,Sit repellat quae aliquid minima asperiores.,Camisa,M,Unisex,Azul Alicia,55.33,53
35,Overol XL,Recusandae dolorum tempore. Nemo rerum tempora.,Camisa,L,Mujer,Melón dulce,94.87,399
36,Overol L,Similique vero quod incidunt.,Overol,S,Unisex,Negro,34.22,70
37,Overol M,Doloribus explicabo voluptatem vitae aperiam.,Pantalón,S,Hombre,Beige papaya,57.73,151
38,Overol L,Porro quia laborum facere dolor recusandae a cum.,Camisa,L,Hombre,Naranja,68.38,485
39,Camisa M,In temporibus recusandae omnis officiis.,Chaqueta,L,Unisex,Beige,75.99,247
40,Chaqueta S,Amet fuga consectetur magni voluptatibus dicta.,Camisa,M,Unisex,Plata,32.35,16
41,Overol M,Quidem alias neque dolore dolorum.,Overol,L,Mujer,Blanco lino,69.57,206
42,Chaqueta L,Vel sed modi repellat.,Pantalón,XL,Mujer,Blanco menta,75.25,395
43,Camisa L,Dicta voluptatem nulla qui.,Chaqueta,M,Mujer,Marfil,40.48,92
44,Pantalón XL,Officiis tenetur blanditiis repellat.,Camisa,L,Mujer,Verde primavera medio,70.21,285
45,Pantalón M,Quos soluta eum accusamus tempora.,Overol,S,Unisex,Verde,46.62,112
46,Chaqueta XL,Distinctio iusto quae.,Overol,L,Mujer,Amarillo maíz dulce,45.7,402
47,Overol M,Dolore laboriosam et.,Overol,L,Hombre,Marrón cuero,86.14,72
48,Overol S,Porro tenetur rem corporis illo et.,Pantalón,XL,Unisex,Rosa profundo,56.51,26
49,Overol XL,Repellat a culpa delectus tempore qui.,Camisa,XL,Unisex,Verde primavera,70.13,340
50,Pantalón XL,Aut assumenda et quos perferendis in impedit.,Pantalón,S,Mujer,Púrpura medio,63.79,387
51,Chaqueta L,Ea soluta quam aut. Animi facere molestiae.,Overol,L,Unisex,Salmón,77.57,71
52,Camisa L,Natus illum voluptate deleniti ratione.,Overol,L,Hombre,Marrón,76.58,272
53,Pantalón XL,Facere quis nihil officiis non.,Overol,S,Mujer,Melón dulce,65.9,410
54,Camisa L,Ut quisquam id nulla eius pariatur reprehenderit.,Camisa,M,Hombre,Blanco menta,31.05,141
55,Chaqueta S,Quibusdam nisi beatae iste. Quae nostrum nulla.,Chaqueta,XL,Hombre,Almendra blanqueado,32.12,219
56,Camisa XL,Nemo exercitationem non voluptate iste.,Chaqueta,XL,Unisex,Orquídea medio,32.36,360
57,Pantalón M,Odio nam nihil cum ducimus aperiam dolore.,Pantalón,M,Mujer,Azul real,69.99,58
58,Pantalón S,Tenetur at blanditiis eaque laudantium itaque.,Camisa,L,Mujer,Beige,64.56,116
59,Overol L,Exercitationem dolor perferendis nihil ad magnam.,Overol,XL,Unisex,Amarillo dorado claro,72.71,356
60,Pantalón S,Labore illo facere animi nulla eos non.,Camisa,S,Mujer,Azul lona,68.19,385
61,Pantalón XL,Architecto enim quae laboriosam natus error.,Chaqueta,XL,Hombre,Azul oscuro,32.27,239
62,Overol M,Corrupti facere quidem dicta animi.,Pantalón,S,Unisex,Rojo oscuro,66.45,434
63,Pantalón M,Rem ab natus corrupti alias animi quas.,Chaqueta,S,Hombre,Azul medio,47.02,496
64,Camisa XL,Adipisci impedit officiis harum eaque occaecati.,Overol,S,Hombre,Coral,82.84,355
65,Camisa XL,Alias ipsa itaque praesentium.,Overol,L,Hombre,Azul claro,73.32,276
66,Overol S,Velit corporis velit quam eos quia ipsam.,Pantalón,M,Mujer,Negro,53.53,433
67,Camisa L,Aut officia saepe sequi.,Chaqueta,S,Mujer,Azul medio,60.14,28
68,Chaqueta L,Nesciunt enim non.,Pantalón,XL,Hombre,Amarillo verde,34.91,209
69,Camisa M,Harum quidem amet veniam repellat.,Overol,L,Mujer,Verde prado,65.29,70
70,Overol S,Ab aut nihil quae doloremque.,Camisa,L,Hombre,Cian,77.06,414
71,Camisa XL,Accusamus nam suscipit dicta a autem.,Pantalón,S,Mujer,Rosa claro,45.1,46
72,Overol S,Aspernatur dolorem aliquid veritatis.,Overol,XL,Mujer,Naranja oscuro,74.42,290
73,Camisa XL,Qui harum quas unde rem.,Overol,S,Unisex,Oro,50.47,186
74,Pantalón M,Quae aspernatur numquam nulla.,Camisa,L,Hombre,Blanco lino,42.94,347
75,Chaqueta L,Officia nam omnis nisi iure alias blanditiis at.,Overol,L,Hombre,Verde oscuro,86.38,176
76,Camisa XL,Nisi repellendus distinctio alias.,Pantalón,M,Mujer,Beige mocasín,45.75,229
77,Chaqueta M,Optio earum doloremque dolore iste corporis aut.,Pantalón,S,Unisex,Índigo,33.06,480
78,Overol S,Quisquam est perspiciatis magnam.,Pantalón,XL,Hombre,Rosa claro,42.11,89
79,Pantalón XL,Repudiandae dolorum ex repellendus delectus.,Overol,M,Hombre,Amarillo claro,54.69,476
80,Overol S,Beatae illo sunt sed facere.,Pantalón,M,Mujer,Turquesa oscuro,60.65,305
81,Camisa M,Quibusdam sequi deleniti officia.,Overol,S,Hombre,Verde oliva oscuro,42.79,234
82,Overol XL,Maiores molestiae dolorum ratione dolore.,Overol,S,Unisex,Azul polvo,50.31,389
83,Chaqueta M,Cum quis quos explicabo distinctio.,Pantalón,M,Mujer,Beige limón,35.32,103
